1040
210,117,160,50,17,35,17,13,89,38,68,0,0
81,80,79,64,47,4,2,2,1,2,8,1,0
25,84,183,89,250,142,151,101,76,125,164,1,0
208,168,98,150,99,44,102,15,131,9,156,1,0
165,115,209,147,199,116,59,38,29,87,83,0,0
247,99,37,120,68,78,120,78,59,113,153,0,0
2,24,232,102,32,18,89,112,125,36,95,1,0
198,184,164,184,183,100,130,88,147,84,5,0,0
113,65,241,51,5,65,33,21,16,13,70,1,0
113,1,67,179,9,142,70,48,35,29,147,1,0
82,245,226,33,244,68,35,23,97,47,78,1,0
0,232,192,22,99,30,94,11,129,6,142,1,0
166,185,19,168,119,105,132,34,145,118,90,0,0
70,27,198,106,25,140,151,100,154,91,41,1,0
119,20,245,198,193,41,101,66,50,104,148,0,0
150,231,176,5,81,30,97,10,127,103,52,1,0
248,54,119,11,73,151,155,105,77,127,174,1,0
230,217,197,247,54,93,127,86,144,83,6,0,0
7,69,165,58,184,146,153,102,76,127,169,1,0
145,100,59,122,58,138,150,154,75,27,12,1,0
81,100,120,105,21,80,119,135,60,15,156,1,0
80,99,151,119,52,78,119,134,60,17,154,1,0
186,226,229,99,119,89,46,84,23,147,17,1,0
36,40,53,166,149,73,117,79,140,79,5,0,0
227,88,34,2,181,101,50,35,105,54,86,0,0
232,85,4,87,6,82,121,80,61,113,152,0,0
166,123,69,73,214,113,137,91,149,86,17,1,0
87,152,66,104,34,49,106,18,132,107,66,0,0
67,104,72,21,95,0,79,106,121,33,76,1,0
196,185,148,168,120,104,132,87,146,84,5,0,0
50,179,212,6,64,2,82,54,40,34,167,1,0
215,51,228,24,119,88,125,82,64,115,152,0,0
229,151,58,82,69,93,45,139,102,83,154,1,0
39,82,233,81,68,62,30,128,15,110,125,1,0
18,68,230,39,166,88,123,83,63,50,6,0,0
24,146,69,200,197,70,116,76,57,109,153,0,0
212,200,166,199,215,98,129,88,144,84,6,0,0
198,35,198,248,39,94,126,84,64,115,152,0,0
184,146,33,182,159,13,85,4,43,132,7,1,0
42,210,33,55,196,54,109,19,53,139,29,0,0
91,113,86,162,230,113,56,92,30,150,42,1,0
223,103,243,17,195,41,19,68,90,7,157,1,0
38,164,101,232,21,64,113,74,57,109,153,1,0
48,115,246,148,97,16,88,111,43,2,102,1,0
89,180,38,8,72,121,140,93,71,122,154,0,0
50,101,20,104,36,80,120,80,60,47,5,0,0
198,16,232,208,48,19,10,114,5,101,79,1,0
151,154,243,104,40,108,135,38,149,118,89,0,0
104,244,211,149,98,44,103,68,52,106,148,0,0
0,66,182,54,178,27,94,115,46,7,115,1,0
98,70,11,42,153,147,154,155,78,31,23,1,0
153,103,26,19,197,101,51,139,106,149,52,0,0
167,15,117,208,64,17,8,60,6,131,144,1,0
80,178,54,244,49,3,81,109,42,1,90,1,0
57,147,230,186,168,131,145,99,72,122,155,0,0
195,20,243,197,210,39,100,68,50,39,6,0,0
116,194,147,40,164,56,109,72,55,45,7,0,0
227,52,53,23,115,30,94,64,47,37,5,0,0
210,244,119,120,70,106,135,88,68,54,13,0,0
67,193,210,21,97,-1,81,55,41,33,166,1,0
82,16,161,194,37,80,39,28,20,16,85,1,0
162,53,64,192,19,50,26,18,92,41,67,0,0
87,89,178,8,87,121,142,42,151,122,90,1,0
16,118,181,51,7,95,48,87,105,19,13,1,0
145,39,49,161,212,55,26,19,95,44,68,0,0
245,71,63,229,17,4,82,1,121,96,28,1,0
214,201,164,201,198,99,131,86,146,84,6,0,0
36,40,54,166,116,75,116,79,138,80,5,0,0
195,223,192,96,115,28,15,11,8,70,64,1,0
75,197,194,40,150,118,140,41,70,151,82,0,0
70,152,50,86,242,51,105,19,132,108,68,0,0
