37,45,114,0,1
37,55,33,1,0
83,84,89,1,0
91,96,95,0,0
62,67,72,1,0
91,97,72,0,0
73,80,39,0,1
80,81,85,1,0
81,82,59,0,0
43,59,16,0,0
36,49,67,0,0
77,82,92,1,0
91,96,82,0,0
72,68,47,0,1
81,85,100,1,0
92,100,136,0,0
37,50,58,0,0
37,43,105,0,0
77,83,34,0,1
62,65,70,0,0
72,76,142,0,0
42,48,66,0,0
66,76,132,1,0
81,84,80,0,0
93,95,58,0,0
83,92,13,0,0
37,42,108,0,0
64,72,54,1,0
80,85,131,0,0
83,93,23,0,0
89,95,131,1,0
43,55,28,0,0
62,63,82,0,0
93,96,107,0,0
69,66,53,0,1
79,88,132,0,0
37,45,86,0,0
81,83,53,0,0
38,41,134,0,1
44,46,116,0,1
97,99,124,0,0
90,98,132,0,0
66,68,38,1,0
43,49,66,0,0
83,88,103,0,0
42,54,22,1,0
36,53,49,0,0
60,67,104,0,1
93,97,79,0,0
54,51,24,0,0
65,74,92,1,0
62,65,36,1,0
65,71,59,0,1
63,68,108,0,1
35,41,121,0,0
79,86,26,0,1
79,84,72,0,0
43,46,90,0,0
80,82,82,1,0
41,53,42,0,0
69,76,46,0,1
36,42,118,0,0
63,73,64,1,0
56,64,92,0,1
36,53,45,0,0
81,74,28,0,0
96,101,110,0,0
72,78,107,1,0
50,53,93,0,1
79,87,126,0,0
81,85,110,0,0
98,100,123,0,0
83,90,107,0,0
78,80,120,1,0
41,48,106,0,1
54,63,62,0,0
85,86,92,1,0
41,48,84,0,0
43,44,93,0,0
70,76,104,1,0
34,38,136,0,0
50,59,12,1,0
80,81,120,1,0
49,66,36,1,0
96,101,111,0,0
33,43,114,0,0
80,83,56,0,0
71,66,50,0,1
56,58,94,0,1
91,93,36,0,0
73,79,42,0,1
66,69,80,1,0
54,52,30,0,0
54,60,71,0,0
62,71,51,1,0
90,91,118,1,0
36,46,118,0,1
79,85,67,0,0
36,45,100,0,0
74,77,109,1,0
69,72,116,0,1
68,69,116,0,1
34,42,124,0,1
93,95,92,0,0
52,48,22,0,0
80,84,94,1,0
43,42,127,0,0
37,42,128,0,0
93,97,116,0,0
53,68,42,1,0
93,98,123,0,0
48,52,108,0,1
55,57,82,0,1
41,46,80,0,0
91,96,66,0,0
62,73,62,1,0
92,93,47,0,0
85,89,104,1,0
54,57,82,0,1
53,69,44,1,0
43,60,20,0,0
41,53,46,0,0
91,99,134,0,0
65,71,56,0,1
61,71,62,0,1
66,67,40,1,0
84,87,101,0,0
81,82,40,0,0
97,103,92,0,0
48,51,106,0,1
84,95,121,0,0
52,62,82,0,1
61,69,47,1,0
54,49,20,0,0
97,102,100,0,0
80,82,29,0,0
62,63,89,0,1
53,50,24,0,0
53,63,78,0,1
41,44,100,0,0
85,91,12,0,0
64,69,78,1,0
65,75,66,1,0
47,55,17,1,0
71,79,76,1,0
59,61,87,0,1
75,79,116,1,0
93,97,93,0,0
65,73,58,1,0
98,105,81,0,0
72,76,68,1,0
80,81,14,0,0
53,61,76,0,0
50,66,38,1,0
92,96,130,0,0
59,62,26,1,0
43,52,46,0,0
61,70,88,1,0
60,67,102,0,1
62,68,65,0,1
71,80,81,1,0
90,98,127,0,0
80,81,13,0,0
49,66,36,1,0
91,95,68,0,0
85,94,125,1,0
39,46,112,0,1
85,94,116,0,0
54,56,86,0,1
84,92,110,0,0
42,43,102,0,0
38,51,42,0,0
61,62,86,0,0
92,95,50,0,0
68,75,52,0,1
62,63,68,0,1
80,82,56,0,0
81,82,62,0,0
38,42,124,0,0
79,84,98,1,0
38,52,42,0,0
59,70,53,1,0
42,54,34,0,0
68,76,49,0,1
70,75,129,1,0
79,84,96,0,0
66,74,97,1,0
73,82,84,1,0
78,72,34,0,1
72,69,46,0,1
36,50,62,0,0
75,82,89,1,0
43,50,70,0,0
68,65,58,0,1
77,82,81,1,0
91,96,75,0,0
51,56,88,0,1
53,59,15,1,0
35,42,122,0,0
83,86,97,0,0
58,58,90,0,1
85,93,14,0,0
58,68,99,0,1
52,60,51,0,0
85,90,105,0,0
52,61,56,0,0
84,88,22,0,1
38,47,81,0,0
63,71,90,1,0
58,61,24,1,0
83,92,119,0,0
46,57,16,1,0
41,47,111,0,1
33,39,134,0,0
77,80,76,1,0
79,84,100,0,0
57,57,90,0,1
62,61,69,0,1
48,52,98,0,1
35,43,129,0,0
43,54,29,0,0
37,48,74,0,0
79,78,20,0,0
70,76,44,0,1
36,40,124,0,0
55,64,92,0,1
69,77,102,1,0
79,84,75,0,0
83,93,16,0,0
34,40,130,0,0
80,86,136,0,0
92,95,62,0,0
72,80,84,1,0
53,57,98,0,1
91,94,32,0,0
77,84,34,0,1
81,79,15,0,0
60,61,72,0,1
66,65,60,0,1
61,70,50,1,0
72,75,139,0,0
36,52,56,0,0
91,94,40,0,0
45,49,115,0,1
93,99,130,0,0
81,87,23,0,1
63,67,104,0,1
81,81,14,0,0
80,73,32,0,0
70,69,84,1,0
42,51,43,0,0
59,67,66,0,1
43,57,21,1,0
87,97,129,1,0
35,40,132,0,0
